Timestamp,Type of Exercise,Who are you?,Time,Distance (in miles),What kind of Calisthenics?,How many?,How many stairs?,Stairmaster time?,Elliptical time?,Weights Time,General Cardio Time:,Comments:,Steps,Walking Distance (in miles),How Long?
1/6/2015 21:51:35,Other Cardio,Vivek,,,,,,,,,0:35:00,league basketball game,,,
1/7/2015 19:36:53,Bike,Laxmi,0:22:00,6.86,,,,,,,,,,,
1/7/2015 19:37:22,Elliptical,Laxmi,,,,,,,0:33:00,,,,,,
1/7/2015 19:37:53,Weights,Laxmi,,,,,,,,0:30:00,,,,,
1/8/2015 20:21:44,Weights,Laxmi,,,,,,,,0:40:00,,,,,
1/8/2015 20:22:10,Elliptical,Laxmi,,,,,,,1:06:00,,,,,,
1/9/2015 10:43:58,Bike,Vivek,0:15:47,3.9,,,,,,,,,,,
1/10/2015 2:20:55,Bike,Vivek,0:15:03,3.7,,,,,,,,,,,
1/10/2015 23:45:22,Run,Vivek,0:11:30,1.5,,,,,,,,,,,
1/10/2015 23:45:32,Weights,Vivek,,,,,,,,0:40:00,,,,,
1/11/2015 13:29:54,Other Cardio,Vivek,,,,,,,,,1:05:00,pickup basketball - 4 games,,,
1/11/2015 18:41:45,Bike,Laxmi,0:22:00,7.11,,,,,,,,,,,
1/11/2015 18:42:02,Weights,Laxmi,,,,,,,,0:35:00,,,,,
1/11/2015 21:52:41,Run,Vivek,0:28:25,3.4,,,,,,,,,,,
1/11/2015 22:03:03,Calisthenics,AT,,,Push-ups,120,,,,,,,,,
1/11/2015 22:20:41,Other Cardio,AP,,,,,,,,,2:00:00,Tennis a couple times this week.,,,
1/12/2015 8:28:55,Calisthenics,AT,,,Sit-ups,25,,,,,,,,,
1/12/2015 8:29:29,Weights,AT,,,,,,,,0:50:00,,,,,
1/12/2015 9:04:53,Run,AT,0:30:00,1.85,,,,,,,,,,,
1/12/2015 21:38:39,Weights,Laxmi,,,,,,,,0:30:00,,,,,
1/12/2015 21:39:12,Elliptical,Laxmi,,,,,,,1:06:00,,,,,,
1/12/2015 22:44:04,Other Cardio,Vivek,,,,,,,,,0:40:00,league basketball game,,,
1/13/2015 8:16:01,Weights,AT,,,,,,,,0:30:00,,,,,
1/13/2015 8:16:54,Calisthenics,AT,,,Pull-ups,46,,,,,,,,,
1/13/2015 8:50:32,Run,AT,0:30:00,1.78,,,,,,,,,,,
1/13/2015 19:26:55,Yoga,Laxmi,,,,,,,,,,,,,1:00:00
